Bacterial Species	Gene hits to species
f__Burkholderiaceae;g__Oxalobacter;s__MGYG-HGUT-02703	iscS
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-02704	mgl
f__Acutalibacteraceae;g__MGYG-HGUT-02705;s__MGYG-HGUT-02705	fn1055
f__Acutalibacteraceae;g__MGYG-HGUT-02711;s__MGYG-HGUT-02711	fn1055
f__MGYG-HGUT-02719;g__MGYG-HGUT-02719;s__MGYG-HGUT-02719	fn1055
f__Oscillospiraceae;g__CAG-83;s__CAG-83_sp000435555	fn1419
f__Oscillospiraceae;g__MGYG-HGUT-02727;s__MGYG-HGUT-02727	mgl
f__Oscillospiraceae;g__CAG-103;s__MGYG-HGUT-02753	cysK
f__Oscillospiraceae;g__MGYG-HGUT-02776;s__MGYG-HGUT-02776	cysK
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-02784	mgl
f__Lactobacillaceae;g__Lactobacillus_F;s__Lactobacillus_F_pentosus	cse
f__Oscillospiraceae;g__CAG-83;s__CAG-83_sp003487665	mgl
f__Megasphaeraceae;g__Megasphaera;s__MGYG-HGUT-02800	yhaM,yhaO
f__Campylobacteraceae;g__Campylobacter_D;s__MGYG-HGUT-02813	cse
f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_braakii	cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Paenibacillaceae;g__Paenibacillus_B;s__MGYG-HGUT-02817	cse,tnaA
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_bugandensis	cse,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Klebsiella_A;s__MGYG-HGUT-02825	cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Lachnospiraceae;g__Clostridium_M;s__MGYG-HGUT-02829	fn0625
f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna_aminovalerica	cse
f__Megasphaeraceae;g__Megasphaera;s__MGYG-HGUT-02861	mgl,yhaM,yhaO
f__CAG-272;g__MGYG-HGUT-02872;s__MGYG-HGUT-02872	cysK
f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E_aeruginosa	cysK,cysM,iscS
f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas_maltophilia	cse
f__Helcococcaceae;g__Anaerococcus;s__MGYG-HGUT-02887	fn1419
f__Enterobacteriaceae;g__Pantoea;s__Pantoea_sp002920175	cyd,cysK,cysM,iscS,malY,metC,mst
f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_N	cysK,iscS,metC,yhaM
f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_pittmaniae	cysK,iscS,metC,yhaM
f__Enterobacteriaceae;g__Metakosakonia;s__Metakosakonia_intestini	cse,cyd,cysK,cysM,iscS,metC,mst,tnaA
f__Acetonemaceae;g__Anaerosporomusa;s__MGYG-HGUT-02907	cse,cysK
f__Sporolactobacillaceae;g__Sporolactobacillus;s__MGYG-HGUT-02937	cse
f__Clostridiaceae;g__Clostridium_B;s__MGYG-HGUT-02938	cse,mgl
f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A_sp002140655	cse
f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A_rhinitidis	mgl
f__Clostridiaceae;g__Clostridium;s__MGYG-HGUT-02962	cse,fn0625,fn1055
f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_ruminantium	mgl
f__Gemellaceae;g__Gemella;s__MGYG-HGUT-02983	fn0625
f__Gemellaceae;g__Gemella;s__Gemella_sanguinis	fn0625
f__Lachnospiraceae;g__Dorea;s__MGYG-HGUT-02992	fn0625
f__Megasphaeraceae;g__Megasphaera;s__Megasphaera_sp002319965	mgl,yhaO
f__Lachnospiraceae;g__Stomatobaculum;s__Stomatobaculum_longum	cysK
f__Lachnospiraceae;g__Oribacterium;s__Oribacterium_sinus	cysK
f__Pasteurellaceae;g__Haemophilus_D;s__MGYG-HGUT-03015	cysK,iscS,metC,yhaM
f__Halomonadaceae;g__Salinicola;s__Salinicola_tamaricis	cysM,iscS
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-03017	iscS
f__Pasteurellaceae;g__Haemophilus_D;s__MGYG-HGUT-03021	metC
f__Burkholderiaceae;g__Parasutterella;s__Parasutterella_sp000980495	iscS
f__Burkholderiaceae;g__Parasutterella;s__MGYG-HGUT-03023	iscS
f__Pasteurellaceae;g__Haemophilus_D;s__MGYG-HGUT-03060	cysK,iscS,metC
f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_amylolyticus_C	cse
f__CAG-138;g__MGYG-HGUT-03100;s__MGYG-HGUT-03100	mgl
f__Enterobacteriaceae;g__Franconibacter;s__Franconibacter_helveticus	cse,cyd,cysM,iscS,metC,mst
f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F_tepidum	mgl
f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_J	cysK,iscS,metC,yhaM
f__Enterobacteriaceae;g__Nissabacter;s__Nissabacter_sp002858715	cyd,cysK,cysM,iscS,malY,metC
f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae	cysK,iscS,metC,yhaM
f__Enterobacteriaceae;g__Pantoea;s__Pantoea_vagans_A	cyd,cysM,malY,metC,mst
f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium_simulans	cse
f__MGYG-HGUT-03131;g__MGYG-HGUT-03131;s__MGYG-HGUT-03131	cse,iscS,yhaM
f__Bacillaceae_A;g__Bacillus_AC;s__Bacillus_AC_sp900199695	cse
f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G_cochlearium	fn1419
f__Clostridiaceae;g__Clostridium_J;s__MGYG-HGUT-03142	mgl
f__Clostridiaceae;g__Clostridium_J;s__MGYG-HGUT-03143	mgl
f__Aeromonadaceae;g__Aeromonas;s__Aeromonas_rivipollensis	cysK,cysM,iscS,tnaA,yhaM
f__Peptoniphilaceae;g__Peptoniphilus_A;s__MGYG-HGUT-03150	mgl
f__Ruminococcaceae;g__Faecalibacterium;s__MGYG-HGUT-03166	cysK
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-03170	iscS
f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_quasivariicola	cse,cysK,iscS,metC
f__Enterobacteriaceae;g__Pantoea_B;s__Pantoea_B_calida	cyd,cysK,cysM,iscS,metC,mst
f__Enterobacteriaceae;g__Leclercia;s__Leclercia_adecarboxylata_C	cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_M	cysK,iscS,metC,yhaM
f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E_extremaustralis	cse,cyd,cysK,cysM,iscS,mgl
f__MGYG-HGUT-03214;g__MGYG-HGUT-03214;s__MGYG-HGUT-03214	cse
f__CAG-74;g__MGYG-HGUT-03224;s__MGYG-HGUT-03224	cysK
f__Victivallaceae;g__Victivallis;s__Victivallis_sp002998355	cysK
f__Victivallaceae;g__Victivallis;s__MGYG-HGUT-03249	cysK
f__CAG-138;g__MGYG-HGUT-03264;s__MGYG-HGUT-03264	mgl
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-03288	iscS
f__Oscillospiraceae;g__MGYG-HGUT-03289;s__MGYG-HGUT-03289	fn1055
f__Ruminococcaceae;g__Faecalibacterium;s__MGYG-HGUT-03291	cysK
f__Selenomonadaceae;g__Selenomonas_A;s__MGYG-HGUT-03294	cse
f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_gingivalis	mgl
f__Eggerthellaceae;g__Senegalimassilia;s__MGYG-HGUT-03303	mgl
f__Burkholderiaceae;g__Duodenibacillus;s__Duodenibacillus_massiliensis	cse,cysK,iscS
f__Veillonellaceae;g__Veillonella;s__MGYG-HGUT-03329	cse
f__Megasphaeraceae;g__Megasphaera;s__Megasphaera_sp001546855	mgl,yhaM,yhaO
f__Burkholderiaceae;g__Parasutterella;s__MGYG-HGUT-03352	iscS
f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera_ascorbata	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Paenibacillaceae;g__Paenibacillus_A;s__MGYG-HGUT-03359	cse
f__Enterobacteriaceae;g__Enterobacter_D;s__Enterobacter_D_kobei	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas_sp900079735	cse,cysK
f__Bacteroidaceae;g__Bacteroides;s__MGYG-HGUT-03363	cysK
f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia_sp002298805	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_werkmanii	cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium_striatum	cysK
f__Leptotrichiaceae;g__Sneathia;s__Sneathia_sanguinegens	mgl
f__Enterobacteriaceae;g__Metakosakonia;s__Metakosakonia_sp002377245	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Nissabacter;s__Nissabacter_archeti	cyd,cysK,cysM,iscS,malY,metC
f__Enterobacteriaceae;g__Pantoea;s__Pantoea_anthophila	cyd,cysK,cysM,iscS,metC,mst
f__Enterobacteriaceae;g__Pantoea;s__Pantoea_agglomerans	cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Pantoea;s__Pantoea_brenneri	cyd,cysK,cysM,iscS,malY,metC,mst
f__Pseudomonadaceae;g__MGYG-HGUT-03387;s__MGYG-HGUT-03387	cyd,cysK,cysM,iscS
f__Neisseriaceae;g__Neisseria;s__Neisseria_subflava_B	iscS
f__MGYG-HGUT-03389;g__MGYG-HGUT-03389;s__MGYG-HGUT-03389	cse
f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia_vulneris	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Pantoea;s__Pantoea_ananatis	cyd,cysK,cysM,iscS,metC,mst,tnaA
f__Pasteurellaceae;g__Haemophilus;s__Haemophilus_influenzae	cysK,iscS,metC,tnaA
f__Enterobacteriaceae;g__RIT-PI-d;s__MGYG-HGUT-03395	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Clostridiaceae;g__Clostridium;s__MGYG-HGUT-03396	fn1055
f__Enterobacteriaceae;g__Serratia;s__Serratia_ureilytica	cse,cyd,cysK,cysM,fn1419,iscS,malY,metC,mst
f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas_sp003028475	cse
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_capitis	cbs,cse
f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_lactis	cse
f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas_maltophilia_AM	cse
f__Streptococcaceae;g__Lactococcus;s__MGYG-HGUT-03404	cse
f__Moraxellaceae;g__Acinetobacter;s__MGYG-HGUT-03414	cysM
f__Clostridiaceae;g__MGYG-HGUT-03416;s__MGYG-HGUT-03416	fn1419
f__Lachnospiraceae;g__UBA1712;s__MGYG-HGUT-03422	cse
f__Lachnospiraceae;g__CAG-127;s__MGYG-HGUT-03425	cse
f__Succinivibrionaceae;g__Ruminobacter_A;s__MGYG-HGUT-03436	iscS
f__Burkholderiaceae;g__Oxalobacter;s__MGYG-HGUT-03451	iscS
f__Succinivibrionaceae;g__Ruminobacter_A;s__MGYG-HGUT-03454	cse,cysK,iscS
f__Succinivibrionaceae;g__Succinivibrio;s__MGYG-HGUT-03463	cse
f__Selenomonadaceae;g__MGYG-HGUT-03475;s__MGYG-HGUT-03475	cysK
f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_timonensis	cse
f__Selenomonadaceae;g__Selenomonas_C;s__Selenomonas_C_bovis	cysK
f__Succinivibrionaceae;g__UBA2804;s__MGYG-HGUT-03491	iscS
f__P3;g__UBA1219;s__MGYG-HGUT-03553	mgl
f__P3;g__UBA3388;s__MGYG-HGUT-03565	fn1419
f__Treponemataceae;g__Treponema_D;s__MGYG-HGUT-03569	cse
f__Treponemataceae;g__Treponema_D;s__MGYG-HGUT-03570	cse
f__Treponemataceae;g__Treponema_D;s__MGYG-HGUT-03575	cse
f__Ruminococcaceae;g__MGYG-HGUT-03583;s__MGYG-HGUT-03583	cse
f__Helicobacteraceae;g__Helicobacter_F;s__Helicobacter_F_sp002287135	cse
f__P3;g__UBA3388;s__UBA3388_sp002358835	fn1419
f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio_sp003456415	cse
f__Atopobiaceae;g__Olsenella_B;s__MGYG-HGUT-03624	cse
f__Selenomonadaceae;g__UBA2913;s__MGYG-HGUT-03625	cysK
f__Moraxellaceae;g__Acinetobacter;s__MGYG-HGUT-03632	cysK,cysM,iscS
f__Lachnospiraceae;g__Roseburia;s__MGYG-HGUT-03644	cysK
f__Lachnospiraceae;g__NK4A136;s__NK4A136_sp002314855	cse
f__Lachnospiraceae;g__Acetatifactor;s__MGYG-HGUT-03661	cysK
f__Oscillospiraceae;g__UBA1777;s__MGYG-HGUT-03668	fn1419,mgl
f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	cysK
f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_polymyxa	cse
f__UBA4877;g__UBA4877;s__UBA4877_sp002399345	mgl
f__Garciellaceae;g__Garciella;s__MGYG-HGUT-03705	mgl
f__Sedimentibacteraceae;g__Sedimentibacter;s__Sedimentibacter_sp003457065	mgl
f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A_devriesei	cse
f__Lactobacillaceae;g__Lactobacillus_E;s__Lactobacillus_E_coryniformis	cse,fn0625
f__Xanthomonadaceae;g__Stenotrophomonas;s__MGYG-HGUT-03711	cse
f__Enterobacteriaceae;g__Serratia;s__Serratia_liquefaciens	cse,cyd,cysK,cysM,iscS,malY,metC,mgl,mst
f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A_gilvus	cse
f__Lachnospiraceae;g__Faecalicatena;s__MGYG-HGUT-03715	cse
f__Peptoniphilaceae;g__Peptoniphilus_B;s__MGYG-HGUT-03719	mgl
f__Dethiosulfovibrionaceae;g__Jonquetella;s__Jonquetella_anthropi	fn1419
f__Neisseriaceae;g__QFNR01;s__MGYG-HGUT-03735	iscS
f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus_metallidurans	cysM,iscS
f__Megasphaeraceae;g__Megasphaera;s__MGYG-HGUT-03747	yhaM,yhaO
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-03754	mgl
f__Peptoniphilaceae;g__Peptoniphilus_B;s__Peptoniphilus_B_duerdenii	fn0625,mgl
f__Peptoniphilaceae;g__KA00134;s__MGYG-HGUT-03759	fn1055
f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas_maltophilia_S	cse
f__Helcococcaceae;g__Kallipyga;s__MGYG-HGUT-03793	mgl
f__Megasphaeraceae;g__Anaeroglobus;s__Anaeroglobus_sp900240295	mgl,yhaM,yhaO
f__Peptoniphilaceae;g__Peptoniphilus_B;s__Peptoniphilus_B_sp000478985	mgl
f__Enterobacteriaceae;g__Pantoea;s__Pantoea_conspicua	cysK,iscS,malY,metC,mst
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-03813	mgl
f__Bacteroidaceae;g__Prevotella;s__MGYG-HGUT-03814	mgl
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-03837	mgl
f__Acutalibacteraceae;g__MGYG-HGUT-03841;s__MGYG-HGUT-03841	cysK
f__CAG-138;g__MGYG-HGUT-03843;s__MGYG-HGUT-03843	mgl
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-03852	iscS
f__Bacteroidaceae;g__Bacteroides;s__MGYG-HGUT-03866	cysK
f__Acutalibacteraceae;g__Clostridium_A;s__MGYG-HGUT-03872	fn1055
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-03879	iscS
f__Enterobacteriaceae;g__Klebsiella_B;s__MGYG-HGUT-03882	cse,cyd,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia_cowanii	cse,cyd,cysK,cysM,iscS,malY,metC,mgl,mst
f__Oscillospiraceae;g__CAG-110;s__MGYG-HGUT-03884	cysK
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-03897	mgl
f__Ruminococcaceae;g__Faecalibacterium;s__MGYG-HGUT-03899	cysK
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-03901	iscS
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-03910	mgl
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-03914	iscS
f__Fusobacteriaceae;g__Fusobacterium_A;s__MGYG-HGUT-03919	fn1220
f__Lachnospiraceae;g__CAG-882;s__MGYG-HGUT-03925	cse
f__Lachnospiraceae;g__CAG-590;s__MGYG-HGUT-03929	cysK
f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_desulfuricans	cysK
f__Oscillospiraceae;g__UBA1777;s__MGYG-HGUT-03938	fn1055
f__Lachnospiraceae;g__CAG-303;s__MGYG-HGUT-03954	cysK
f__CAG-552;g__CAG-552;s__CAG-552_sp000435495	fn1419
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-03969	iscS
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-03999	iscS
f__Planococcaceae;g__FJAT-21963;s__MGYG-HGUT-04015	cse,mgl
f__Ruminococcaceae;g__MGYG-HGUT-04022;s__MGYG-HGUT-04022	fn1055
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-04028	fn1419
f__Monoglobaceae;g__MGYG-HGUT-04036;s__MGYG-HGUT-04036	cysK
f__Anaerovoracaceae;g__MGYG-HGUT-04061;s__MGYG-HGUT-04061	cse
f__Burkholderiaceae;g__Oxalobacter;s__MGYG-HGUT-04063	iscS
f__UBA9506;g__MGYG-HGUT-04064;s__MGYG-HGUT-04064	fn1055
f__CAG-138;g__MGYG-HGUT-04070;s__MGYG-HGUT-04070	mgl
f__Acutalibacteraceae;g__MGYG-HGUT-04075;s__MGYG-HGUT-04075	fn1055
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-04096	iscS
f__Lachnospiraceae;g__CAG-95;s__CAG-95_sp000438155	cse
f__Oscillospiraceae;g__UBA1777;s__MGYG-HGUT-04130	mgl
f__Lachnospiraceae;g__MGYG-HGUT-04132;s__MGYG-HGUT-04132	cse
f__Oscillospiraceae;g__UBA1777;s__MGYG-HGUT-04139	fn1055
f__Burkholderiaceae;g__Comamonas;s__Comamonas_kerstersii	cysM,iscS
f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_citronellolis	cse,cyd,cysK,cysM,iscS
f__UBA1750;g__UBA7102;s__MGYG-HGUT-04153	iscS
f__Acutalibacteraceae;g__MGYG-HGUT-04159;s__MGYG-HGUT-04159	cysK
f__Monoglobaceae;g__MGYG-HGUT-04164;s__MGYG-HGUT-04164	cysK
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-04187	iscS
f__Oscillospiraceae;g__F23-B02;s__F23-B02_sp000431075	fn1419
f__Lachnospiraceae;g__Acetatifactor;s__MGYG-HGUT-04203	cysK
f__Lachnospiraceae;g__MGYG-HGUT-04210;s__MGYG-HGUT-04210	cse
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-04225	iscS
f__Christensenellaceae;g__MGYG-HGUT-04235;s__MGYG-HGUT-04235	fn1055
f__Burkholderiaceae;g__Oxalobacter;s__MGYG-HGUT-04251	iscS
f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_asaccharolytica	mgl
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-04270	mgl
f__MGYG-HGUT-04272;g__MGYG-HGUT-04272;s__MGYG-HGUT-04272	yhaO
f__MGYG-HGUT-04273;g__MGYG-HGUT-04273;s__MGYG-HGUT-04273	fn1419
f__MGYG-HGUT-04285;g__MGYG-HGUT-04285;s__MGYG-HGUT-04285	fn1419
f__Lactobacillaceae;g__Lactobacillus_H;s__MGYG-HGUT-04287	cse
f__Megasphaeraceae;g__Anaeroglobus;s__Anaeroglobus_micronuciformis	mgl,yhaO
f__Enterobacteriaceae;g__Providencia;s__Providencia_rettgeri_C	cyd,cysK,cysM,iscS,metC,mgl,tnaA,yhaO
f__Fusobacteriaceae;g__Fusobacterium_B;s__MGYG-HGUT-04309	fn1419
f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter_segnis	cysK,iscS,metC
f__Oscillospiraceae;g__F23-B02;s__MGYG-HGUT-04327	fn1419
f__Ruminococcaceae;g__Faecalibacterium;s__MGYG-HGUT-04340	cysK
f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A_sp000431435	mgl,yhaO
f__Lachnospiraceae;g__CAG-882;s__CAG-882_sp000435595	cse
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-04376	mgl
f__Lachnospiraceae;g__UBA2821;s__MGYG-HGUT-04382	cse
f__Megasphaeraceae;g__Caecibacter;s__MGYG-HGUT-04397	mgl,yhaO
f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B_hirae	cse
f__Oscillospiraceae;g__CAG-83;s__CAG-83_sp900313295	mgl
f__Butyricicoccaceae;g__UBA4644;s__MGYG-HGUT-04438	fn1419
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-04454	cysM,iscS
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-04463	fn1419
f__Ruminococcaceae;g__UBA1394;s__MGYG-HGUT-04471	cysK
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-04475	fn1419
f__CAG-977;g__MGYG-HGUT-04485;s__MGYG-HGUT-04485	cysK
f__Oscillospiraceae;g__F23-B02;s__F23-B02_sp003533405	fn1419
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-04487	fn1419
f__Treponemataceae;g__Treponema_D;s__MGYG-HGUT-04493	cse
f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E_bromii_A	cse
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-04525	fn1419
f__Oscillospiraceae;g__CAG-103;s__CAG-103_sp000432375	cysK
f__CAG-314;g__CAG-314;s__MGYG-HGUT-04528	fn1419
f__CAG-274;g__MGYG-HGUT-04547;s__MGYG-HGUT-04547	iscS
f__Acutalibacteraceae;g__CAG-964_A;s__MGYG-HGUT-04555	cse
f__F082;g__F082;s__F082_sp002633315	mgl
f__Lachnospiraceae;g__CAG-81;s__MGYG-HGUT-04582	cysK
f__Lachnospiraceae;g__CAG-194;s__CAG-194_sp000432915	cse
f__Bacteroidaceae;g__Bacteroides_A;s__MGYG-HGUT-04599	cysK
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-04626	iscS
f__CAG-274;g__MGYG-HGUT-04634;s__MGYG-HGUT-04634	fn1055
f__Burkholderiaceae;g__Duodenibacillus;s__MGYG-HGUT-04637	iscS
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-04641	iscS
f__MGYG-HGUT-04642;g__MGYG-HGUT-04642;s__MGYG-HGUT-04642	fn1419
